Classifier,Condition,Accuracy,Kappa,Min,Max,N,_acc
ATCNET,APA,0.2485 +/- 0.0052,0.0000 +/- 0.0000,0.2383,0.2588,9,0.24845558823503153
ATCNET,BASELINE,0.2485 +/- 0.0052,0.0000 +/- 0.0000,0.2383,0.2588,9,0.24845558823503153
CTNET,APA,0.2485 +/- 0.0052,0.0000 +/- 0.0000,0.2383,0.2588,9,0.24845558823503153
CTNET,BASELINE,0.2485 +/- 0.0052,0.0000 +/- 0.0000,0.2383,0.2588,9,0.24845558823503153
EEGCONFORMER,APA,0.2485 +/- 0.0052,0.0000 +/- 0.0000,0.2383,0.2588,9,0.24845558823503153
EEGCONFORMER,BASELINE,0.2485 +/- 0.0052,0.0000 +/- 0.0000,0.2383,0.2588,9,0.24845558823503153
EEGNET,APA,0.2485 +/- 0.0052,0.0000 +/- 0.0000,0.2383,0.2588,9,0.24845558823503153
EEGNET,BASELINE,0.2485 +/- 0.0052,0.0000 +/- 0.0000,0.2383,0.2588,9,0.24845558823503153
EEGTCNET,APA,0.2485 +/- 0.0052,0.0000 +/- 0.0000,0.2383,0.2588,9,0.24845558823503153
EEGTCNET,BASELINE,0.2485 +/- 0.0052,0.0000 +/- 0.0000,0.2383,0.2588,9,0.24845558823503153
LDA,APA,0.4749 +/- 0.1299,0.2985 +/- 0.1743,0.2837,0.6190,9,0.47491886232651404
LDA,BASELINE,0.4955 +/- 0.1389,0.3267 +/- 0.1852,0.2609,0.6619,9,0.495475979103567
MSCFORMER,APA,0.2485 +/- 0.0052,0.0000 +/- 0.0000,0.2383,0.2588,9,0.24845558823503153
MSCFORMER,BASELINE,0.2485 +/- 0.0052,0.0000 +/- 0.0000,0.2383,0.2588,9,0.24845558823503153
SVM,APA,0.4122 +/- 0.1190,0.2156 +/- 0.1591,0.2261,0.5341,9,0.4122213698475603
SVM,BASELINE,0.4042 +/- 0.1051,0.2050 +/- 0.1406,0.2500,0.5055,9,0.40420437394479314
